freq,p_adj,unit,product,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NI,I15,201000,NL	100.00 	102.30 	111.70 	105.60 	108.10 	108.00 	120.50 	125.70 	138.60 e
A,NI,I15,201000,PL	100.00 	103.19 	101.39 	101.96 	106.77 	109.39 	112.93 p	133.57 	157.58 e
A,NI,I15,201000,PT	100.00 	97.04 	101.09 	108.47 	102.42 	103.93 	103.47 	112.31 	123.05 e
A,NI,I15,201000,RO	100.00 	97.91 	98.51 	141.80 	134.88 	151.04 	145.71 	160.66 	176.21 e
A,NI,I15,201000,SE	100.00 	98.20 	95.80 	93.70 	98.50 	100.90 	101.90 	114.08 	130.55 e
A,NI,I15,201000,SI	100.00 	95.46 	95.62 	92.29 	101.67 	100.70 	99.20 	106.38 	117.08 e
A,NI,I15,201000,SK	100.00 	99.59 	94.73 	91.70 	92.90 	96.20 	100.88 	119.05 	128.80 e
A,NI,I15,201000,UK	100.00 	101.65 	99.52 	104.57 	104.66 	113.46 f	: 	: 	: 
A,NI,I15,202000,AT	100.00 	94.00 	98.10 	106.10 	105.70 	96.00 	110.40 	153.80 	140.90 e
A,NI,I15,202000,BE	100.00 	104.78 	124.15 	139.34 	140.45 	112.32 	145.40 	207.48 	166.01 e
A,NI,I15,202000,BG	100.00 	90.60 	95.50 	102.40 	101.80 	91.00 	103.70 	132.60 	125.60 e
A,NI,I15,202000,CY	100.00 	83.53 	94.64 	104.20 	108.48 	93.67 	106.86 	167.70 	167.34 e
A,NI,I15,202000,CZ	100.00 	91.40 	96.10 	101.70 	103.50 	96.00 	106.30 	148.70 	138.90 e
A,NI,I15,202000,DE	100.00 	93.20 	99.40 	106.70 	108.10 	100.80 	113.70 	158.80 	156.20 e
A,NI,I15,202000,DK	100.00 	97.04 	105.46 	115.57 	118.85 	110.06 	140.66 	246.01 	236.90 e
A,NI,I15,202000,EE	100.00 	97.82 	105.67 	116.14 	117.24 	101.87 	123.52 	202.03 	207.24 e
A,NI,I15,202000,EL	100.00 	92.58 	105.00 	114.20 	114.80 	101.04 	116.08 	162.67 	148.07 e
A,NI,I15,202000,ES	100.00 	88.60 	96.70 	109.20 	105.70 	86.20 	114.50 	182.49 	133.13 e
